raw_speed,elevation_deg,entered_distance_cm,corrected_distance_cm,predicted_distance_cm,error_cm,measurement_sigma_cm,incidence_deg,standardized_residual,included,rejection_iteration,fitted_speed_mps
2000,5,134,134,148.07711218,14.07711218,4.68721805,28.28614369,3.00329791,false,1,4.51143143
2000,15,168,168,183.40810727,15.40810727,4.94918384,33.77092079,3.11326226,false,1,4.51143143
2000,25,210,210,211.44988773,1.44988773,4.80324894,41.32534618,0.30185563,true,,4.51143143
2000,35,220,220,226.23681818,6.23681818,4.46161937,49.5180029,1.39788217,true,,4.51143143
2000,45,225,225,224.89403175,-0.10596825,3.99906085,57.51698359,-0.02649828,true,,4.51143143
2200,5,160,160,160.98843101,0.98843101,5.44376202,26.33349228,0.18157131,true,,4.99016351
2200,15,203,203,203.89523495,0.89523495,5.71557006,32.35101361,0.15663091,true,,4.99016351
2200,25,245,245,237.77929709,-7.22070291,5.48731484,40.54070618,-1.31589003,true,,4.99016351
2200,35,258,258,255.64749026,-2.35250974,5.06249255,49.24211628,-0.46469397,true,,4.99016351
2400,15,221,221,225.14050994,4.14050994,6.51251793,31.23546528,0.63577713,true,,5.46889558
2400,25,269,269,265.03024358,-3.96975642,6.18009256,40.03591418,-0.64234579,true,,5.46889558
2400,35,285,285,285.90068056,0.90068056,5.66499649,49.20210317,0.15899049,true,,5.46889558
2400,45,285,285,284.81780184,-0.18219816,5.05086437,57.76298071,-0.03607267,true,,5.46889558
2600,5,186,186,187.50579816,1.50579816,7.11368214,23.28949452,0.21167633,true,,5.94762766
2600,15,245,245,247.07765165,2.07765165,7.3316747,30.36457823,0.28338023,true,,5.94762766
2600,25,300,300,293.03935505,-6.96064495,6.8739578,39.7512317,-1.01261095,true,,5.94762766
2600,35,319,319,316.76804161,-2.23195839,6.26355614,49.34074856,-0.35634045,true,,5.94762766
2600,45,320,320,315.55644446,-4.44355554,5.5746578,58.11206128,-0.79709925,true,,5.94762766
2800,5,198,198,201.09796401,3.09796401,8.02115795,22.09009532,0.38622404,true,,6.42635974
2800,15,260,260,269.61997035,9.61997035,8.16574421,29.68797131,1.17808862,true,,6.42635974
2800,25,326,326,321.64718889,-4.35281111,7.56286363,39.63891868,-0.57555065,true,,6.42635974
2800,35,347,347,348.04950599,1.04950599,6.85403677,49.61459013,0.15312232,true,,6.42635974
2800,45,347,347,346.51701063,-0.48298937,6.09235769,58.55703697,-0.07927791,true,,6.42635974
3000,15,282,282,292.70760346,10.70760346,9.007648,29.17192038,1.18872357,true,,6.90509181
3000,25,350,350,350.71665765,0.71665765,8.2420435,39.66384826,0.08695145,true,,6.90509181
3000,35,375,375,379.57390471,4.57390471,7.43352015,49.99042919,0.61530804,true,,6.90509181
