raw_speed,elevation_deg,measured_distance_cm,measurement_offset_cm,note
2000,5,134,0,MAD-rejected by robust refit
2000,15,168,0,MAD-rejected by robust refit
2000,25,210,0,
2000,35,220,0,
2000,45,225,0,
2200,5,160,0,
2200,15,203,0,
2200,25,245,0,
2200,35,258,0,
2400,15,221,0,
2400,25,269,0,
2400,35,285,0,
2400,45,285,0,
2600,5,186,0,
2600,15,245,0,
2600,25,300,0,
2600,35,319,0,
2600,45,320,0,
2800,5,198,0,
2800,15,260,0,
2800,25,326,0,
2800,35,347,0,
2800,45,347,0,
3000,15,282,0,
3000,25,350,0,
3000,35,375,0,
